,gemeentenaam,soort_regio,id,codering,aantal_inwoners,woningkenmerken,stadsverwarming
5118,Franekeradeel,Buurt,60,BU00700000,1324.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
552,AlphenaandenRijn,Wijk,54,WK048445,1176.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3839,Dinkelland,Wijk,95,WK177419,1914.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4699,Eindhoven,Buurt,85,BU07721433,-253.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14699,Venlo,Buurt,97,BU09831507,172.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11210,Oosterhout,Buurt,37,BU08260201,627.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12637,Schouwen-Duiveland,Buurt,47,BU16761309,-13.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3803,Dinkelland,Buurt,71,BU17741198,183.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
238,Albrandswaard,Buurt,56,BU06130623,2218.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12991,Stadskanaal,Wijk,2,WK003702,-7237.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1478,Apeldoorn,Buurt,5,BU02000507,141.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
