,id_old,gemeentenaam,codering,indelingswijziging_wijken_en_buurten,aantal_installaties_bij_woningen,aantal_zonnepanelen_per_installatie,opgesteld_vermogen_van_zonnepanelen,totaal_aantal_laadpalen,werkloosheidsuitkering_relatief,bijstandsuitkering_relatief,arbeidsongeschiktheidsuitkering_relatief,aow_uitkering_relatief,inwoners_vanaf_15_jaar,inwoners_vanaf_15_jr_tot_aow_leeftijd,inwoners_vanaf_de_aow_leeftijd
3665,1009,Deurne,BU07620109,1.0,14.0,33.0,105.0,1.0,25.0,0.0,120.0,685.0,910.0,760.0,160.0
8863,1008,Leeuwarden,BU00807001,1.0,92.0,,,4.0,85.0,145.0,130.0,885.0,5210.0,4060.0,1160.0
16631,1004,Zwolle,BU01933200,1.0,28.0,24.0,154.0,1.0,30.0,15.0,80.0,1575.0,2140.0,1300.0,840.0
6037,1009,Groningen,BU00140802,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
9037,1003,Lelystad,BU09951226,1.0,22.0,17.0,85.0,1.0,90.0,10.0,130.0,2335.0,990.0,410.0,590.0
4790,1009,Emmen,BU01140102,1.0,14.0,18.0,58.0,0.0,125.0,85.0,250.0,560.0,780.0,660.0,120.0
100,1005,Aalsmeer,WK035800,1.0,251.0,15.0,851.0,3.0,65.0,60.0,140.0,1140.0,41970.0,30010.0,11970.0
9545,1003,Loppersum,BU00240301,1.0,50.0,,,1.0,110.0,125.0,190.0,570.0,1380.0,1180.0,200.0
13421,1000,Súdwest-Fryslân,BU19001302,1.0,23.0,,,1.0,115.0,155.0,95.0,955.0,1640.0,1250.0,400.0
3781,1007,Diemen,BU03840219,1.0,4.0,13.0,11.0,,115.0,40.0,275.0,1240.0,1150.0,790.0,360.0
3451,1004,Culemborg,BU02160003,1.0,296.0,,,3.0,100.0,180.0,200.0,960.0,26720.0,20250.0,6470.0
9061,1002,Lelystad,BU09952115,1.0,47.0,,,2.0,45.0,0.0,60.0,1280.0,1050.0,720.0,340.0
3686,1003,Deventer,WK015003,1.0,289.0,10.0,640.0,3.0,110.0,190.0,280.0,760.0,39740.0,32140.0,7600.0
8156,1004,Hulst,BU06770828,1.0,26.0,15.0,84.0,2.0,55.0,0.0,245.0,755.0,1400.0,1130.0,280.0
604,1005,Alphen-Chaam,BU17230208,1.0,13.0,15.0,48.0,0.0,50.0,20.0,100.0,895.0,1380.0,1060.0,320.0
4930,1004,Enschede,BU01530202,1.0,11.0,15.0,35.0,,110.0,350.0,505.0,545.0,6790.0,5840.0,920.0
4998,1006,Epe,WK023201,1.0,180.0,19.0,733.0,6.0,80.0,20.0,165.0,885.0,16980.0,13200.0,3770.0
4723,1007,Eindhoven,BU07721544,1.0,82.0,15.0,266.0,3.0,85.0,10.0,100.0,900.0,9140.0,7070.0,2080.0
3868,1000,Doetinchem,BU02220201,1.0,17.0,14.0,51.0,0.0,110.0,545.0,490.0,510.0,2830.0,2470.0,360.0
9094,1008,Lelystad,BU09952773,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7828,1008,Hoogezand-Sappemeer,BU00180606,1.0,17.0,16.0,58.0,0.0,85.0,80.0,200.0,1095.0,630.0,470.0,170.0
15942,1001,Wormerland,BU08800208,1.0,,,,0.0,0.0,0.0,0.0,0.0,120.0,80.0,40.0
11096,1003,Ommen,BU01750108,1.0,10.0,18.0,42.0,0.0,60.0,20.0,65.0,1245.0,680.0,470.0,210.0
1747,1004,Assen,WK010608,1.0,615.0,15.0,2124.0,21.0,100.0,60.0,160.0,460.0,32640.0,28820.0,3820.0
15531,1003,Westland,BU17830801,1.0,79.0,,,0.0,70.0,50.0,145.0,970.0,9300.0,7050.0,2270.0
7845,1003,Hoogezand-Sappemeer,BU00181106,1.0,86.0,13.0,233.0,1.0,160.0,0.0,180.0,570.0,1540.0,1310.0,220.0
3310,1009,Coevorden,BU01091008,1.0,175.0,11.0,428.0,3.0,105.0,465.0,320.0,750.0,4080.0,3330.0,760.0
6844,1004,Heerhugowaard,WK039804,1.0,58.0,9.0,130.0,0.0,65.0,60.0,200.0,1145.0,5000.0,3560.0,1430.0
2051,1003,Bellingwedde,BU00070206,1.0,,,,0.0,0.0,80.0,220.0,935.0,230.0,160.0,40.0
